max_tmp,min_tmp,range,hum,wind,label
20.6,17.5,3.1000000000000014,90.5,7.9,7
26.5,20.6,5.899999999999999,68.5,7.0,7
25.3,19.0,6.300000000000001,80.4,7.6,8
27.0,18.8,8.2,75.8,4.2,8
27.1,19.2,7.900000000000002,72.6,4.9,7
23.2,18.1,5.099999999999998,83.8,3.9,8
26.6,16.7,9.900000000000002,70.4,3.5,7
24.9,17.6,7.299999999999997,79.3,4.3,8
27.7,18.9,8.8,76.4,3.3,8
24.9,21.3,3.599999999999998,79.9,3.4,8
23.6,20.1,3.5,70.3,3.7,7
25.8,18.1,7.699999999999999,59.0,6.0,7
26.2,17.6,8.599999999999998,56.3,5.3,7
24.9,15.6,9.299999999999999,57.6,4.9,7
25.3,13.6,11.700000000000001,56.1,2.9,9
25.6,15.5,10.100000000000001,55.3,4.6,9
23.8,15.2,8.600000000000001,56.9,5.3,7
25.4,16.8,8.599999999999998,56.6,5.7,7
25.4,16.6,8.799999999999997,64.1,4.9,7
24.8,14.8,10.0,59.5,6.2,9
25.8,14.9,10.9,63.3,3.9,9
26.5,15.7,10.8,66.0,3.6,9
23.9,15.3,8.599999999999998,67.6,4.3,7
25.7,16.2,9.5,78.0,4.1,8
23.6,15.6,8.000000000000002,74.9,4.7,7
21.9,16.3,5.599999999999998,76.6,5.2,7
23.2,18.3,4.899999999999999,72.5,3.6,7
21.8,10.6,11.200000000000001,62.099999999999994,7.2,9
18.4,8.5,9.899999999999999,54.3,5.1,5
19.7,9.3,10.399999999999999,55.9,4.1,9
22.0,9.9,12.1,48.9,3.4,9
23.1,12.1,11.000000000000002,50.0,5.4,9
23.3,12.4,10.9,50.4,5.2,9
21.5,12.3,9.2,60.1,3.8,6
20.8,12.7,8.100000000000001,68.5,4.1,6
21.3,12.1,9.200000000000001,68.6,4.6,6
18.4,8.6,9.799999999999999,52.3,4.7,5
18.0,8.5,9.5,44.0,5.8,5
18.5,6.5,12.0,41.8,3.7,9
15.4,8.6,6.800000000000001,64.3,2.5,5
18.6,8.7,9.900000000000002,64.3,4.3,5
20.2,7.2,13.0,65.5,3.9,9
21.3,9.8,11.5,74.4,3.4,9
21.7,9.9,11.799999999999999,67.1,3.1,9
17.3,11.8,5.5,69.4,3.8,5
18.2,8.4,9.799999999999999,63.0,5.7,5
13.3,5.4,7.9,48.5,5.5,4
14.0,3.2,10.8,44.6,5.9,9
18.2,5.4,12.799999999999999,62.5,3.8,9
19.0,8.0,11.0,71.6,4.4,9
19.4,9.0,10.399999999999999,74.1,3.4,9
18.2,8.6,9.6,52.1,4.8,5
16.1,5.5,10.600000000000001,40.3,4.5,9
19.6,5.8,13.8,42.9,3.2,9
18.2,8.5,9.7,60.3,5.0,5
15.0,11.6,3.4000000000000004,84.3,4.5,6
15.6,7.9,7.699999999999999,58.3,4.9,5
8.6,2.7,5.8999999999999995,44.5,8.4,2
10.8,0.2,10.600000000000001,43.9,4.2,9
15.9,3.4,12.5,61.5,3.0,9
17.2,9.9,7.299999999999999,63.3,3.3,5
18.1,12.2,5.900000000000002,68.8,4.9,5
12.4,3.1,9.3,40.8,6.2,4
8.9,0.7,8.200000000000001,40.9,4.0,2
12.9,3.5,9.4,56.1,5.0,4
16.5,3.5,13.0,53.5,2.6,9
17.7,4.6,13.1,56.9,3.4,9
17.6,8.5,9.100000000000001,71.5,3.0,5
19.3,6.8,12.5,66.9,4.0,9
14.9,8.2,6.700000000000001,75.0,3.7,4
18.3,7.5,10.8,70.1,4.1,9
20.0,11.7,8.3,67.5,4.5,6
18.7,14.8,3.8999999999999986,91.4,3.6,6
19.1,6.9,12.200000000000001,87.5,7.3,9
7.0,0.3,6.7,71.3,5.6,2
12.8,-0.3,13.100000000000001,67.9,4.8,9
9.1,1.5,7.6,77.5,5.7,4
5.9,-1.5,7.4,61.4,4.9,1
6.4,0.2,6.2,54.5,3.8,1
9.5,0.0,9.5,64.1,3.0,3
10.9,1.9,9.0,66.5,3.6,3
7.7,0.6,7.1000000000000005,58.6,5.3,2
2.8,-2.3,5.1,47.0,5.3,1
2.6,-3.6,6.2,59.6,4.5,1
4.3,-3.6,7.9,57.8,4.6,1
6.7,-3.6,10.3,44.5,4.0,9
6.1,0.5,5.6,41.4,3.9,1
4.2,-2.3,6.5,47.1,4.9,1
4.4,-4.6,9.0,53.8,4.3,1
6.6,-2.2,8.8,63.1,3.9,1
9.1,1.2,7.8999999999999995,66.9,4.3,3
6.3,-0.7,7.0,54.5,5.6,1
4.1,-3.5,7.6,50.0,3.9,1
6.2,-4.1,10.3,55.1,3.0,9
9.3,3.2,6.1000000000000005,69.9,3.5,3
9.4,2.6,6.800000000000001,77.1,4.5,4
6.1,-0.3,6.3999999999999995,51.3,4.8,1
2.0,-6.0,8.0,71.9,6.1,1
-5.0,-9.7,4.699999999999999,46.1,5.3,1
-4.6,-11.1,6.5,40.0,5.2,1
-3.9,-11.2,7.299999999999999,43.9,4.6,1
0.8,-11.1,11.9,47.0,3.7,9
1.8,-6.4,8.200000000000001,54.0,5.4,1
-1.2,-9.6,8.4,42.1,5.1,1
1.1,-8.2,9.299999999999999,50.4,4.4,1
4.7,-6.0,10.7,64.1,3.7,9
7.2,-2.5,9.7,67.6,4.7,2
8.5,-0.4,8.9,73.6,5.1,2
6.1,-2.0,8.1,58.5,6.5,1
3.5,-4.7,8.2,51.9,4.7,1
8.0,-2.1,10.1,65.8,3.9,9
10.0,1.4,8.6,62.9,2.8,3
11.4,4.2,7.2,72.1,3.1,3
4.3,-6.2,10.5,67.8,6.1,9
-6.2,-12.9,6.7,52.5,6.2,1
-5.0,-12.9,7.9,53.9,4.2,1
